# Rime user dictionary
#@/db_name	bopomo_onion.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	231
#@/user_id	cceb415b-5f81-4c04-ac57-7d03c69a9c63
a1 	阿	c=0 d=0.26358 t=231
geng1 xin1 man2 kuai4 de5 a1 	更新蠻快的阿	c=1 d=0.970446 t=231
gong1 ju4 	工具	c=1 d=0.479505 t=231
gong1 neng2 	功能	c=0 d=0.067368 t=231
gu3 tong2 	古銅	c=1 d=0.551563 t=231
guai4 	怪	c=0 d=0.0529935 t=231
guang1 xian4 	光線	c=0 d=0.104101 t=231
guang1 xian4 yao4 bei4 zhe1 dang3 de5 wei4 zhi4 	光線要被遮擋的位置	c=1 d=0.408608 t=231
guang1 zhou2 	光軸	c=2 d=1.31658 t=231
guang1 zhou2 shi4 ba3 guang1 xian4 zhe1 dang3 zuo4 wei2 chu4 fa1 	光軸是把光線遮擋作爲觸發	c=1 d=0.637628 t=231
guo4 fen4 	過分	c=0 d=0.0423162 t=231
ha1 ha1 	哈哈	c=0 d=0.0436049 t=231
ha1 ha1 a1 	哈哈阿	c=1 d=0.438235 t=231
hai2 neng2 	還能	c=0 d=0.0941765 t=231
hai2 shi4 	還是	c=0 d=0.0666977 t=231
hai2 yao4 	還要	c=0 d=0.199501 t=192
hai2 yao4 xie3 cheng2 shi4 qu4 gai3 	還要寫程式去改	c=1 d=1 t=192
hai4 wo3 	害我	c=0 d=0.1 t=192
hai4 wo3 hai2 yao4 duo1 kai1 	害我還要多開	c=1 d=1 t=193
hao3 	好	c=3 d=2.64365 t=231
hao3 la5 	好啦	c=1 d=0.891366 t=231
hao3 le5 	好了	c=0 d=0.145392 t=231
hao3 o1 	好哦	c=1 d=0.516851 t=231
hao3 yun1 o1 gan1 	好暈噢甘	c=1 d=0.618783 t=231
hen3 jiu3 	很久	c=0 d=0.0818731 t=231
hou1 	齁	c=1 d=0.831104 t=231
hou4 	後	c=1 d=0.718924 t=231
hu1 hu1 	呼呼	c=1 d=0.585669 t=231
hua2 suan4 	划算	c=1 d=1 t=196
hua4 de5 	畫的	c=0 d=0.0690734 t=231
huai4 diao4 	壞掉	c=0 d=0.067368 t=231
huai4 diao4 jiu4 wu2 fa3 chu4 fa1 shu1 ru4 de5 gong1 neng2 	壞掉就無法觸發輸入的功能	c=1 d=0.677057 t=231
huang2 di4 	皇帝	c=0 d=0.0740818 t=231
huang2 di4 mei2 gui1 	皇帝玫瑰	c=1 d=0.744532 t=231
hui4 you3 	會有	c=0 d=0.0666977 t=231
huo4 shi4 	或是	c=1 d=0.499074 t=231
ji3 dian3 	幾點	c=0 d=0.083527 t=231
ji4 de2 	記得	c=0 d=0.0759572 t=231
ji4 de5 	記得	c=0 d=0.0600496 t=231
jia1 	加	c=1 d=0.980199 t=231
jia1 	家	c=0 d=0.0970446 t=231
jia1 shang4 	加上	c=1 d=0.955997 t=231
jian4 	鍵	c=1 d=0.527069 t=231
jian4 cheng2 	鍵埕	c=1 d=0.402524 t=231
jian4 zhou2 lai2 jin4 xing2 	鍵軸來進行	c=1 d=0.666977 t=231
jiang3 	講	c=0 d=0.0869358 t=231
jiao4 	叫	c=0 d=0.18311 t=223
jie4 mian4 	界面	c=0 d=0.099005 t=231
jin1 	金	c=0 d=0.0543351 t=231
jin1 se4 	金色	c=0 d=0.0540641 t=231
jin1 tian1 	今天	c=0 d=0.0980199 t=231
jin1 tian1 gao3 le5 yi1 xia4 wu3 de5 shu1 ru4 fa3 	今天搞了一下午的輸入法	c=1 d=0.985112 t=231
jin4 xing2 	進行	c=0 d=0.260272 t=231
jin4 xing2 dan1 yuan2 er4 	進行單元二	c=1 d=1 t=211
jin4 xing2 xia4 xia4 mian4 	進行下下面	c=1 d=0.726149 t=231
jiu4 	就	c=0 d=0.067368 t=231
jiu4 gen1 	就跟	c=0 d=0.0644036 t=231
jiu4 shi4 	就是	c=0 d=0.0489192 t=231
jiu4 shi4 xiang4 zhe4 yang4 	就是向這樣	c=1 d=0.491644 t=231
kai1 	開	c=0 d=0.147997 t=231
kai1 yuan2 	開源	c=0 d=0.1 t=220
kan4 	看	c=1 d=0.783809 t=231
ke3 ai4 	可愛	c=0 d=0.1 t=221
ke3 yi3 	可以	c=0 d=0.163397 t=231
ke3 yi3 kan4 dao4 	可以看到	c=0 d=0.0631284 t=231
ken3 lao3 	啃老	c=0 d=0.0955997 t=231
ken3 lao3 ken3 qi3 lai2 	啃老啃起來	c=1 d=0.960789 t=231
ken3 qi3 lai2 	啃起來	c=0 d=0.0955997 t=231
la5 	啦	c=0 d=0.0414783 t=231
lai2 	來	c=0 d=0.111749 t=231
lai2 bu4 xu1 yao4 	來不需要	c=1 d=0.45612 t=231
lai2 yuan2 	來源	c=0 d=0.0628135 t=231
le5 	了	c=1 d=1.07666 t=231
liang3 wei4 	兩位	c=0 d=0.0918512 t=231
liang3 wei4 de5 hua4 	兩位的話	c=1 d=0.923116 t=231
liang4 	量	c=0 d=0.0540641 t=231
liang4 jin1 se4 	量金色	c=1 d=0.543351 t=231
liu2 cheng2 tu2 	流程圖	c=2 d=1.99501 t=213
liu4 	六	c=0 d=0.0491644 t=231
liu4 dian3 	六點	c=0 d=0.0913931 t=231
